country,year,pct_of_respondents
All geographies,2021,56.0
All geographies,2022,50.0
All geographies,2023,55.0
Asia-Pacific,2021,64.0
Asia-Pacific,2022,55.0
Asia-Pacific,2023,58.0
Developing markets,2021,52.03603
Developing markets,2022,44.0
Developing markets,2023,49.0
Europe,2021,51.0
Europe,2022,48.0
Europe,2023,57.0
"Greater China  (incl. Hong Kong,  Taiwan)",2021,61.0
"Greater China  (incl. Hong Kong,  Taiwan)",2022,41.0
"Greater China  (incl. Hong Kong,  Taiwan)",2023,48.0
North America,2021,55.0
North America,2022,59.0
North America,2023,61.0
