country,year,sector,investment_usd,sector_label,log_investment_usd,investment_tier,industry_group,period,investment_bn
China,2017,agritech,11054594,AgriTech,7.043542796955663,Low,Agriculture,2017-2018,0.011054594
China,2020,agritech,94228066,AgriTech,7.97418027745853,Low,Agriculture,2019-2020,0.094228066
China,2021,agritech,140000000,AgriTech,8.146128035678238,Medium,Agriculture,2021-2023,0.14
China,2022,agritech,92590197,AgriTech,7.96656500812714,Low,Agriculture,2021-2023,0.092590197
China,2023,agritech,8892956,AgriTech,6.949046143546466,Low,Agriculture,2021-2023,0.008892956
China,2019,ai_infrastructure_research_governance,31796818,AI Infrastructure,7.502383661047774,Low,Technology,2019-2020,0.031796818
China,2020,ai_infrastructure_research_governance,31409355,AI Infrastructure,7.497059018129897,Low,Technology,2019-2020,0.031409355
China,2021,ai_infrastructure_research_governance,50000000,AI Infrastructure,7.698970004336019,Low,Technology,2021-2023,0.05
China,2022,ai_infrastructure_research_governance,74072158,AI Infrastructure,7.869654997464335,Low,Technology,2021-2023,0.074072158
China,2023,ai_infrastructure_research_governance,26678868,AI Infrastructure,7.426167398266128,Low,Technology,2021-2023,0.026678868
China,2017,ar_vr,66327565,AR/VR,7.821694053887029,Low,Technology,2017-2018,0.066327565
China,2018,ar_vr,10791015,AR/VR,7.03306229622761,Low,Technology,2017-2018,0.010791015
China,2019,ar_vr,148385152,AR/VR,8.171390445908758,Medium,Technology,2019-2020,0.148385152
China,2020,ar_vr,492079898,AR/VR,8.69203562399366,Medium,Technology,2019-2020,0.492079898
China,2021,ar_vr,130000000,AR/VR,8.113943352306837,Medium,Technology,2021-2023,0.13
China,2022,ar_vr,74072158,AR/VR,7.869654997464335,Low,Technology,2021-2023,0.074072158
China,2023,ar_vr,8892956,AR/VR,6.949046143546466,Low,Technology,2021-2023,0.008892956
China,2017,av,77382159,Autonomous Vehicles,7.888640842582253,Low,Transportation & Logistics,2017-2018,0.077382159
China,2018,av,302148417,Autonomous Vehicles,8.480220323257765,Medium,Transportation & Logistics,2017-2018,0.302148417
China,2019,av,84791516,Autonomous Vehicles,7.928352400149269,Low,Transportation & Logistics,2019-2020,0.084791516
China,2020,av,73288495,Autonomous Vehicles,7.865035803424491,Low,Transportation & Logistics,2019-2020,0.073288495
China,2021,av,1790000000,Autonomous Vehicles,9.252853030979892,High,Transportation & Logistics,2021-2023,1.79
China,2022,av,462950987,Autonomous Vehicles,8.66553501433936,Medium,Transportation & Logistics,2021-2023,0.462950987
China,2023,av,249002768,Autonomous Vehicles,8.396204174888686,Medium,Transportation & Logistics,2021-2023,0.249002768
China,2017,creative__music__video_content,110545942,Creative Content,8.04354280481293,Low,Media & Marketing,2017-2018,0.110545942
China,2018,creative__music__video_content,442431610,Creative Content,8.645846148039304,Medium,Media & Marketing,2017-2018,0.44243161
China,2019,creative__music__video_content,307369244,Creative Content,8.48766040893687,Medium,Media & Marketing,2019-2020,0.307369244
China,2020,creative__music__video_content,136107206,Creative Content,8.133881118907897,Medium,Media & Marketing,2019-2020,0.136107206
China,2021,creative__music__video_content,260000000,Creative Content,8.414973347970818,Medium,Media & Marketing,2021-2023,0.26
China,2022,creative__music__video_content,305547652,Creative Content,8.485078950705619,Medium,Media & Marketing,2021-2023,0.305547652
China,2023,creative__music__video_content,17785912,Creative Content,7.250076139210447,Low,Media & Marketing,2021-2023,0.017785912
China,2017,cybersecurity__data_protection,33163783,Cybersecurity,7.52066406477077,Low,Technology,2017-2018,0.033163783
China,2020,cybersecurity__data_protection,62818710,Cybersecurity,7.798089013793878,Low,Technology,2019-2020,0.06281871
China,2021,cybersecurity__data_protection,250000000,Cybersecurity,8.397940008672037,Medium,Technology,2021-2023,0.25
China,2022,cybersecurity__data_protection,55554118,Cybersecurity,7.744716256947283,Low,Technology,2021-2023,0.055554118
China,2017,data_management__processing,55272971,Data Management,7.742512809148949,Low,Technology,2017-2018,0.055272971
China,2018,data_management__processing,32373045,Data Management,7.510183550947271,Low,Technology,2017-2018,0.032373045
China,2019,data_management__processing,211978789,Data Management,8.326292406772541,Medium,Technology,2019-2020,0.211978789
China,2020,data_management__processing,554898609,Data Management,8.744213636141646,High,Technology,2019-2020,0.554898609
China,2021,data_management__processing,1280000000,Data Management,9.107209969647869,High,Technology,2021-2023,1.28
China,2022,data_management__processing,555541185,Data Management,8.744716260856034,High,Technology,2021-2023,0.555541185
China,2023,data_management__processing,329039372,Data Management,8.517247867613461,Medium,Technology,2021-2023,0.329039372
China,2017,drones,44218377,Drones,7.645602798105209,Low,Transportation & Logistics,2017-2018,0.044218377
China,2018,drones,32373045,Drones,7.510183550947271,Low,Transportation & Logistics,2017-2018,0.032373045
China,2019,drones,42395758,Drones,7.627322404485287,Low,Transportation & Logistics,2019-2020,0.042395758
China,2020,drones,94228066,Drones,7.97418027745853,Low,Transportation & Logistics,2019-2020,0.094228066
China,2021,drones,60000000,Drones,7.778151250383644,Low,Transportation & Logistics,2021-2023,0.06
China,2022,drones,74072158,Drones,7.869654997464335,Low,Transportation & Logistics,2021-2023,0.074072158
China,2023,drones,44464780,Drones,7.648016147882485,Low,Transportation & Logistics,2021-2023,0.04446478
China,2017,ed_tech,530620521,EdTech,8.724784041697438,High,Education,2017-2018,0.530620521
China,2018,ed_tech,874072205,EdTech,8.941547310137626,High,Education,2017-2018,0.874072205
China,2019,ed_tech,646535306,EdTech,8.810592245817052,High,Education,2019-2020,0.646535306
China,2020,ed_tech,136107206,EdTech,8.133881118907897,Medium,Education,2019-2020,0.136107206
China,2021,ed_tech,490000000,EdTech,8.690196080028514,Medium,Education,2021-2023,0.49
China,2022,ed_tech,314806671,EdTech,8.498043926824867,Medium,Education,2021-2023,0.314806671
China,2023,ed_tech,80036604,EdTech,7.903288652985791,Low,Education,2021-2023,0.080036604
China,2017,energy__oil__and_gas,55272971,Energy & Oil/Gas,7.742512809148949,Low,Energy,2017-2018,0.055272971
China,2018,energy__oil__and_gas,194238268,Energy & Oil/Gas,8.288334796859145,Medium,Energy,2017-2018,0.194238268
China,2019,energy__oil__and_gas,74192576,Energy & Oil/Gas,7.870360450244776,Low,Energy,2019-2020,0.074192576
China,2020,energy__oil__and_gas,209395701,Energy & Oil/Gas,8.320967761148253,Medium,Energy,2019-2020,0.209395701
China,2021,energy__oil__and_gas,650000000,Energy & Oil/Gas,8.812913356642856,High,Energy,2021-2023,0.65
China,2022,energy__oil__and_gas,425914908,Energy & Oil/Gas,8.629322841644127,Medium,Energy,2021-2023,0.425914908
China,2023,energy__oil__and_gas,320146416,Energy & Oil/Gas,8.505348644313754,Medium,Energy,2021-2023,0.320146416
China,2017,entertainment,198982695,Entertainment,8.298815308606692,Medium,Media & Marketing,2017-2018,0.198982695
China,2018,entertainment,75537104,Entertainment,7.878160330492447,Low,Media & Marketing,2017-2018,0.075537104
China,2021,entertainment,50000000,Entertainment,7.698970004336019,Low,Media & Marketing,2021-2023,0.05
China,2023,entertainment,17785912,Entertainment,7.250076139210447,Low,Media & Marketing,2021-2023,0.017785912
China,2017,facial_recognition,331637825,Facial Recognition,8.520664058223048,Medium,Technology,2017-2018,0.331637825
China,2018,facial_recognition,1694189336,Facial Recognition,9.228961943766317,High,Technology,2017-2018,1.694189336
China,2019,facial_recognition,752524701,Facial Recognition,8.876520759856492,High,Technology,2019-2020,0.752524701
China,2020,facial_recognition,617717319,Facial Recognition,8.790789777864632,High,Technology,2019-2020,0.617717319
China,2021,facial_recognition,3040000000,Facial Recognition,9.482873583608754,High,Technology,2021-2023,3.04
China,2022,facial_recognition,55554118,Facial Recognition,7.744716256947283,Low,Technology,2021-2023,0.055554118
China,2023,facial_recognition,115608428,Facial Recognition,8.062989495853303,Medium,Technology,2021-2023,0.115608428
China,2017,fintech,187928101,FinTech,8.27399172526682,Medium,Financial Services,2017-2018,0.187928101
China,2018,fintech,53955074,FinTech,7.732032292514441,Low,Financial Services,2017-2018,0.053955074
China,2019,fintech,222577728,FinTech,8.347481704964439,Medium,Financial Services,2019-2020,0.222577728
China,2020,fintech,157046776,FinTech,8.196029025231299,Medium,Financial Services,2019-2020,0.157046776
China,2021,fintech,550000000,FinTech,8.740362689494244,High,Financial Services,2021-2023,0.55
